Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
			
Spend over £25,000			
Details of our monthly spend over £25,000			
April 2020			
Supplier Name	Category Family	Invoice GL Date	Spend
A P Webb Plant Hire Ltd	On Track Plant	2020-04-17 00:00:00	29504
A P Webb Plant Hire Ltd	On Track Plant	2020-04-30 00:00:00	29998
ABB Ltd	Electrification and Fixed Plant	2020-04-14 00:00:00	304009.89
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2020-04-14 00:00:00	25578.82
AECOM Ltd	Professional Services Direct	2020-04-24 00:00:00	58078.47
AECOM Ltd	Professional Services Direct	2020-04-28 00:00:00	37487.91
AECOM Ltd	Track	2020-04-16 00:00:00	104360.93
AECOM Ltd	Track	2020-04-17 00:00:00	74490.06
AECOM Ltd	Track	2020-04-17 00:00:00	126137.18
AECOM Ltd	Track	2020-04-17 00:00:00	108724.72
AECOM Ltd	Track	2020-04-17 00:00:00	38856.8
AECOM Ltd	Track	2020-04-19 00:00:00	188128.89
AECOM Ltd	Track	2020-04-20 00:00:00	50435.73
AECOM Ltd	Track	2020-04-20 00:00:00	112770.64
AECOM Ltd	Track	2020-04-21 00:00:00	208206
AECOM Ltd	Track	2020-04-27 00:00:00	123999
AMT-Sybex Ltd	Information Technology	2020-04-15 00:00:00	1037223
Abellio ScotRail Ltd	Regulatory Charges	2020-04-15 00:00:00	83337.28
Affinity Water Ltd	Professional Services Direct	2020-04-15 00:00:00	28352.79
Alstom Transport UK Ltd	Professional Services Direct	2020-04-22 00:00:00	448966.13
Alstom Transport UK Ltd	Professional Services Direct	2020-04-30 00:00:00	30599
Alstom Transport UK Ltd	Signalling	2020-04-07 00:00:00	136473.86
Alstom Transport UK Ltd	Signalling	2020-04-07 00:00:00	478520.45
Alstom Transport UK Ltd	Signalling	2020-04-07 00:00:00	114900.53
Alstom Transport UK Ltd	Signalling	2020-04-09 00:00:00	335675.66
Alstom Transport UK Ltd	Signalling	2020-04-15 00:00:00	86037.97
Alstom Transport UK Ltd	Signalling	2020-04-16 00:00:00	102869.86
Alstom Transport UK Ltd	Signalling	2020-04-16 00:00:00	429323.58
Alstom Transport UK Ltd	Signalling	2020-04-16 00:00:00	118651.44
Alstom Transport UK Ltd	Signalling	2020-04-17 00:00:00	181321.65
Alstom Transport UK Ltd	Signalling	2020-04-21 00:00:00	747400.98
Alstom Transport UK Ltd	Signalling	2020-04-22 00:00:00	198026.94
Altran UK Ltd	Professional Services Direct	2020-04-15 00:00:00	109643.86
Alun Griffiths (Contractors) Ltd	Buildings	2020-04-09 00:00:00	52777
Alun Griffiths (Contractors) Ltd	Buildings	2020-04-09 00:00:00	199218.04
Alun Griffiths (Contractors) Ltd	Buildings	2020-04-14 00:00:00	96381.28
Alun Griffiths (Contractors) Ltd	General Civils	2020-04-03 00:00:00	26966.6
Alun Griffiths (Contractors) Ltd	General Civils	2020-04-03 00:00:00	401658.55
Alun Griffiths (Contractors) Ltd	General Civils	2020-04-06 00:00:00	205332.37
Alun Griffiths (Contractors) Ltd	General Civils	2020-04-08 00:00:00	89816
Alun Griffiths (Contractors) Ltd	General Civils	2020-04-08 00:00:00	175889.17
