Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3
			
			
			
Spend over £25,000			
Details of our periodic spend over £25,000			
March 2019			
Supplier Name	Category Family	Invoice GL Date	Spend
1Spatial Group Ltd	Information Technology	2019-03-02 00:00:00	245917.2
1st Inrail Ltd	Track	2019-03-31 00:00:00	28753.44
1st Inrail Ltd	Track	2019-03-31 00:00:00	25191.62
1st Inrail Ltd	Track	2019-03-02 00:00:00	28953.63
1st Inrail Ltd	Track	2019-03-31 00:00:00	42317.61
1st Inrail Ltd	Track	2019-03-02 00:00:00	30116.8
1st Inrail Ltd	Track	2019-03-31 00:00:00	28416.6
1st Inrail Ltd	Track	2019-03-02 00:00:00	32240.84
23red Ltd	Land & Property Acquisitions (incl. Business Consultancy)	2019-03-02 00:00:00	25532.43
A D Modular Ltd	Plant and Tools	2019-03-31 00:00:00	32500
A R Cook & Son (Plant Hire) Ltd	Buildings	2019-03-31 00:00:00	28650
ABB Ltd	Electrification and Fixed Plant	2019-03-07 00:00:00	599026.26
ABB Ltd	Telecoms	2019-03-31 00:00:00	37500
ABB Ltd	HR and Training	2019-03-31 00:00:00	49360
ABB Ltd	Professional Services Direct	2019-03-02 00:00:00	35960
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	83934.96
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	69373.37
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	82384.35
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	33035.37
AECOM Infrastructure & Environment UK Ltd	Track	2019-03-18 00:00:00	49632.08
AECOM Infrastructure & Environment UK Ltd	Track	2019-03-18 00:00:00	72358.47
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	31768.41
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	45436.35
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	54257.01
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	25563.84
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-31 00:00:00	57375.62
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-31 00:00:00	39954.86
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-31 00:00:00	30878.68
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	137134.14
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-25 00:00:00	36805.05
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-31 00:00:00	27903.42
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	33916.37
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-31 00:00:00	26949.43
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	62418.97
AECOM Infrastructure & Environment UK Ltd	Professional Services Direct	2019-03-02 00:00:00	114838.23
